"","F1","F2","F3","F4","F5","F6"
"F1: Adventurousness","","","","","",""
"I seek more adventure than before.",".858","","","","",""
"I seek to visit new places more than before.",".847","","","","",""
"I seek more changes than before.",".760","","","","",""
"F2: Compassion","","","","","",""
"Compared to before, now I feel others’ emotions more.","",".833","","","",""
"I take more interest in other people’s lives than before (deleted in CFA for factor loading or high values in the standardized residual covariances).","",".882","","","",""
"I inquire about others’ well-being more than before.","",".875","","","",""
"I do things for others more than before.","",".832","","","",""
"F3: Conscientiousness","","","","","",""
"Compared to before, now I believe more that laws should be strictly enforced.","","",".874","","",""
"I try to follow the rules more than before.","","",".840","","",""
"I like order more than before.","","",".821","","",""
"F4: Emotional Stability","","","","","",""
"Compared to before, now I feel more comfortable with myself (deleted in CFA for factor loading or high values in the standardized residual covariances).","","","",".671","",""
"I am more relaxed than before.","","","",".773","",""
"I am less easily frustrated than before.","","","",".818","",""
"I feel less frequently blue than before.","","","",".806","",""
"F5: Introversion","","","","","",""
"Compared to before, now I enjoy spending time by myself more (deleted in CFA for factor loading or high values in the standardized residual covariances)","","","","",".841",""
"I seek quiet more than before.","","","","",".909",""
"I enjoy silence more than before.","","","","",".896",""
"I enjoy my privacy more than before.","","","","",".843",""
"F6: Spirituality","","","","","",""
"Compared to before, now I practice religion more.","","","","","",".863"
"I am a more spiritual person than before.","","","","","",".881"
"I keep my faith even during hard times more than before.","","","","","",".900"
"I believe more than before that each person has a purpose in life (deleted in CFA for factor loading or high values in the standardized residual covariances).","","","","","",".795"
"Eigenvalue","1.054","3.065","2.035","1.355","7.815","2.769"
"% of total variance","4.58","13.33","8.85","5.89","33.98","12.04"
