"","CR","AVE","MSV","Factor Loading","Estimate","Stand. Estimate","Critical Ratio"
"Adventurousness",".854",".662",".268","","","",""
" I seek more adventure than before.","","","",".824","1.000","",""
" I seek to visit new places more than before.","","","",".849",".995",".05","19.723"
" I seek more changes than before.","","","",".766",".881",".049","18.126"
"Compassion",".889",".727",".263","","","",""
" Compared to before, now I feel others’ emotions more.","","","",".794","1.000","",""
" I inquire about others’ well-being more than before.","","","",".872","1.083",".05","21.567"
" I do things for others more than before.","","","",".889","1.112",".051","21.887"
"Conscientiousness",".913",".777",".355","","","",""
" Compared to before, now I believe more that laws should be strictly enforced.","","","",".852","1.000","",""
" I try to follow the rules more than before.","","","",".915","1.084",".04","26.993"
" I like order more than before.","","","",".877","1.048",".041","25.494"
"Emotional Stability",".843",".643",".268","","","",""
" I am more relaxed than before.","","","",".737","1.000","",""
" I am less easily frustrated than before.","","","",".827","1.248",".072","17.327"
" I feel less frequently blue than before.","","","",".838","1.221",".07","17.463"
"Introversion",".915",".782",".170","","","",""
" I seek quiet more than before.","","","",".883","1.000","",""
" I enjoy silence more than before.","","","",".906","1.035",".037","28.021"
" I enjoy my privacy more than before.","","","",".864",".963",".037","26.197"
"Spirituality",".925",".804",".355","","","",""
" Compared to before, now I practice religion more.","","","",".92","1.000","",""
" I am a more spiritual person than before.","","","",".84",".907",".033","27.352"
"I  keep my faith even during hard times more than before.","","","",".928","1.013",".03","33.444"
